"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"C1R",1.2,1.2,0.72,1.2,0.9,1.4,0.5,0.72,1.7,1,1.3,1,1.7,2.2,1,0.87,0.88,1.3,0.6,1.1,1.1,1.1,0.72,1.5,0.54,0.76,1.2,6e+08,1.5,0.8,0.9,0.85,2.9
"C1RL",0.77,0.79,0.81,1.1,1.3,1.3,1.2,0.99,1.5,1,2.1,1.8,1.4,1.8,1,0.66,1.2,1.1,0.57,1.1,1.6,4.4,0.5,1.7,0.7,0.7,1.3,3,0.89,1.9,0.68,0.68,1.4
"C1S",1.1,1.2,0.68,1.4,1.1,1.4,1.1,0.91,1.6,0.92,1.4,1,2,1.1,2,0.84,0.82,1.2,0.71,0.88,1,1.1,0.72,1.3,0.49,0.74,1.2,9.5e+08,0.95,0.73,1.1,1.3,3.5
"C2",1.1,0.82,1.2,0.87,0.86,0.85,1,1.8,1.2,0.91,1.1,1.3,1.1,0.97,1,0.84,0.67,1.3,0.66,0.89,1.2,2.3,0.31,0.78,0.87,0.62,0.99,4.1,1,1.7,1.2,1.5,2.5
"C2CD2",1.8,0.9,1.6,1.1,0.79,1.2,0.66,1.1,1.3,0.93,1.2,0.82,1.3,1,1.7,1.1,0.83,1.1,0.92,1.2,0.92,0.65,0.88,0.49,1.4,0.96,1.1,3,1.7,2.5,1.6,1.2,3.8
"C2CD2L",2.3,1,1.5,1.1,0.5,1.4,0.52,1.1,1,0.9,4.2,0.95,0.61,1.1,0.69,1.6,0.84,1.3,0.91,1,0.83,4.3,0.69,0.91,1,0.9,0.8,6.2e+08,0.76,0.64,0.54,0.99,2.4
"C2CD3",1.8,0.93,1.3,0.94,1.5,1.1,1.2,1.3,0.9,0.86,2.4,0.84,1.4,1.4,1.1,1.6,1.1,0.91,1.3,0.95,0.86,5.8,0.46,0.4,0.8,0.91,1.1,1.4,0.96,0.4,1,1.2,0.74
"C2CD4A",0.65,0.97,1.2,1,1.7,0.6,1.2,0.99,0.97,0.79,0.9,1.7,1.9,1,1.7,1.3,1.2,0.94,0.71,0.86,0.93,1.8,1.1,0.59,1.4,0.86,0.96,0.26,0.73,1.7,1.2,1.3,1
"C2CD4B",0.59,1.1,0.8,0.51,1.1,0.72,1.2,1.1,1.2,0.72,1,1.3,0.6,1,1.7,1.2,0.83,1.2,0.98,1.1,0.8,0.48,0.75,0.28,0.9,1.2,0.94,0.77,0.68,1,0.97,0.91,3
"C2CD4C",1.8,1.1,1.1,1.1,1.1,1.4,2.5,0.83,1.5,0.99,1,0.69,1.7,1,0.71,1.1,0.85,0.96,1.9,1.1,0.83,1,0.61,1.6,1.1,1,1.5,5.6e+08,1.1,0.21,0.93,1.5,1.7
