"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"TFEC",1,1,0.93,0.62,0.46,1.2,0.86,1.1,1.3,0.81,1.3,1,0.8,1.2,1.7,1.4,0.83,1.2,0.59,0.93,1.1,0.51,1.5,0.81,0.68,1,1.1,1.3,1.4,5.3,0.99,1.1,3.5
"TFF1",1.8,0.82,0.72,1.6,1.1,0.72,1,1.1,1,0.98,1,1,1,1,1,1.7,1.4,1.2,1,0.99,1.2,1,2.1,1.1,1,1,1.1,2.3,1,1,0.53,1.3,1
"TFF2",1,0.79,0.93,1.3,1.3,1.2,1,0.82,1,1,1,1.2,1,1,1,1.9,1.2,0.88,1,0.96,0.96,1,1,0.96,1,0.99,1.2,0.42,1,1,0.87,0.77,1.2
"TFF3",0.65,1.3,0.79,0.9,0.61,0.83,0.54,1.2,1.1,0.8,0.75,0.85,1.7,0.75,1.4,0.83,1,1,1.7,1,0.88,0.2,0.94,1.2,1.1,1.1,0.97,1.4,1,0.88,0.53,2.4,0.29
"TFG",1.5,0.97,1.1,1.4,1,0.91,1.2,1.5,0.93,1,5.4e+08,0.74,1.3,1.1,1.5,1.6,1.7,1,1.3,1.1,1.6,4.2,1.7,0.37,0.98,0.98,0.92,0.74,1.3,3.5,1.1,0.8,0.52
"TFIP11",2.1,0.92,0.92,0.71,1,0.95,0.23,0.86,0.87,1,4,1,0.79,0.92,1.3,1.5,1.2,1,0.96,0.87,1,1,1.2,0.77,0.78,1.3,0.74,1.4,0.97,0.31,0.6,0.91,3.4
"TFP1",0.9,1.1,1,0.9,1,1.5,1.1,1.2,0.79,1,1.6,1.2,0.8,1.2,0.65,1.1,0.89,0.97,1.3,0.96,0.87,1.4,12,0.69,1.4,0.88,1,1.7,2.1,0.46,1,1.8,1
"TFPI",0.82,1.1,0.96,1.8,1.8,1.2,1.5,1.4,1.1,0.93,0.87,0.68,1,1.3,1,0.99,1.2,1.3,1.5,0.98,1.5,0.56,0.3,1,1.2,0.88,1.4,2.4,3.3,0.57,1.9,2,0.73
"TFPI2",2,1.2,0.71,1.2,1.6,0.93,0.23,0.91,1.2,1.2,0.8,1.6,1.5,1,1.5,1.1,1.1,1.4,0.7,1.1,1.1,0.2,0.47,0.95,1.1,0.69,1.8,2.2,1.3,0.31,0.81,1.2,3
"TFPT",5,1,1.3,1.4,1.3,1.1,0.7,1.3,1.1,0.98,1.3,1.1,0.86,1.4,1.4,1.5,1.1,1.1,1.3,1.1,0.65,0.94,3.7,1.7,1.2,1.5,1,0.35,0.81,0.5,0.82,0.79,4.4
"TFR2",2.4,0.97,0.9,0.86,1,1.3,0.65,0.85,1.4,0.93,0.69,1.6,1.4,1.2,1.2,0.82,0.95,0.71,1.7,1,0.89,4.8,0.79,0.64,0.97,1,1.1,2.2,2.1,0.38,1.5,0.86,2.3
"TFRC",3.1,1.1,1.1,1.5,0.51,1.1,1.2,0.95,1.2,1.2,10,0.79,2,1.2,1,1.4,1.2,0.88,1.5,1.2,1.6,1,2,0.48,1.5,0.95,0.86,4.4,4.5,1.6,0.83,1.2,2.2
"TG",2.4,0.99,1.2,0.87,0.47,0.79,0.57,1.3,1,1.3,0.87,1.3,1.3,1.7,1.2,0.81,0.9,1.1,0.91,1.1,1.1,0.47,0.28,0.53,1.3,1.1,1.3,1.4,1.1,1.9,1.5,1.7,0.53
"TGDS",2.5,1.1,1.1,0.96,2.3,1.1,2.4,1.1,0.75,1.1,1.4,1,0.48,1.3,1.4,1.1,1.2,1.1,1.1,1,1,2.2,18,0.27,1.2,0.78,0.9,0.73,1.2,0.34,0.56,1.2,1.1
"TGFA",1.4,1.1,1.1,1.8,0.72,0.98,1.7,0.73,0.97,1.2,0.49,0.56,0.96,0.49,1,1,1.3,1.2,1.2,1.2,1.6,0.99,1.2,1.5,0.97,0.93,0.86,2,0.39,2,0.91,1.2,2.4
"TGFB1",1.6,0.97,0.94,1.4,0.97,1.7,2,1.2,1.2,1.2,0.85,1.1,0.97,1.9,1.7,1.1,0.94,1.1,2.3,1,0.98,0.73,0.29,1.4,1,0.69,1.4,3.7,1.4,0.57,1.4,1.5,1.7
"TGFB1I1",4.3,1.6,0.89,1.1,0.78,1.4,0.41,0.7,1.3,1,1.5,0.77,1.9,0.83,1.8,1.2,0.99,1.2,2.2,0.91,1.4,0.98,0.55,1.2,0.79,1.2,1.2,2.5,1.2,0.75,0.84,0.89,0.72
"TGFB2",4.8,1.3,1,1.3,1.5,1.5,0.78,1,0.89,0.97,0.97,0.68,1.3,1.2,1,1.1,0.98,0.96,1.7,1,1.4,1,1.2,1.2,1.2,1.1,1.6,2.9,0.95,4,0.78,0.85,1.9
"TGFB3",1.7,1.5,1.2,0.97,0.49,1.5,0.75,0.73,1.2,0.94,1.2,0.89,1.7,1.7,1.5,1.3,0.89,0.95,1.1,1.1,0.97,1,0.91,1.6,1.3,0.96,1.2,6.3e+08,1.3,1.6,1.2,0.59,3.2
"TGFBI",0.54,1.2,1.1,2.1,1.3,0.97,0.65,0.83,1.6,1.4,1.4,1.6,1.1,1,1.4,1,1.3,1,1,1,1.5,0.51,1,1.2,1.1,0.84,1.3,5.8e+08,0.94,0.56,0.79,0.93,1
"TGFBR1",4.6,1.3,1.5,1.2,1.5,1.4,1.8,1.3,1.2,1.1,1.3,0.65,1.1,0.89,1.9,1.4,1.1,1.3,2.5,1.1,1.1,2.4,1.4,0.82,0.75,1.1,1.4,1,0.61,1,0.79,1.2,1.5
"TGFBR2",0.58,1,1,1.4,0.81,1.2,4.1,0.73,1,0.99,2.1,1,1.2,0.82,1.8,0.91,0.9,1.4,0.99,1.3,1.2,2.6,0.91,0.54,0.92,0.88,1.2,6.1e+08,2.6,0.9,1.1,1.2,0.83
"TGFBR3",1.1,0.84,0.9,0.93,0.78,0.91,0.7,0.76,1,0.72,3.8,0.57,0.64,1.4,0.86,0.79,1,0.89,0.76,1.2,0.95,0.23,0.99,1.2,0.85,0.88,0.91,2.4,3.2,1.2,1.5,1,1
"TGFBR3L",1,1.5,0.98,0.87,1.9,1.9,3.9,1,0.82,1.2,0.79,1.3,0.81,1.2,0.88,0.99,1.4,0.94,2,0.85,1,0.23,0.6,1.8,1.3,0.99,0.99,2.2,1.3,1.1,2.3,1.1,0.46
"TGFBRAP1",1.6,1,1.2,1.1,0.54,0.83,1.2,0.84,0.9,0.88,2.4,1,1.6,1.5,1.1,1.4,0.97,1.1,1.4,1.2,1,0.58,0.75,0.6,0.77,1.4,0.91,1.9,2.8,0.51,1.1,1.1,1.2
"TGIF1",3.4,0.88,0.86,1.5,1.5,0.77,0.69,0.94,1.3,0.99,1.5,0.73,0.9,0.51,1,1.3,1.6,0.9,1.1,0.77,1.7,1.5,1.8,1.4,0.98,1.1,0.84,0.72,0.85,0.69,1.3,1.3,0.97
"TGIF2",2.1,0.87,0.97,0.87,1,1.4,1.4,1.1,0.87,1,1.5,0.75,0.8,1.1,1.9,1.2,0.95,0.93,2,0.96,1.2,1.8,2,0.45,1.6,1.1,1,0.24,1.7,0.93,0.47,0.71,0.45
"TGIF2LX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43,1,1,1,1,1
"TGIF2P1",1,1,0.88,1,0.63,1,1,0.93,1,1,1,1,1,0.88,1,1,1,1,1,0.85,1,1,1,1,1,1,0.93,1,1,1,1,1,1
"TGM1",2.5,1.3,0.68,1.1,0.98,1.4,1.7,0.98,1.3,0.94,1.3,1.7,1.3,1.1,0.71,1.4,0.79,0.9,0.71,1.3,1,4.9,1.8,0.94,1,1.1,1.1,0.44,0.38,0.4,0.95,0.68,0.65
"TGM2",0.69,1.2,0.95,1.2,1,1.4,0.39,1.5,1.2,1,2.3,1.3,1.6,1.3,1.5,1,0.98,1.5,1.2,1,1.7,0.53,0.48,0.5,0.78,0.72,1.1,9.1e+08,0.89,0.96,1.2,1.5,2
"TGM3",1.6,1.1,1,0.86,1.4,0.98,0.72,0.93,1.4,0.98,6.8,1.6,1.3,1,0.83,1,1.3,0.9,0.9,1,0.74,0.72,0.55,0.62,1.3,1.5,0.96,0.23,0.57,0.44,0.73,2,1.2
"TGM4",2,1.1,0.88,0.83,0.59,1.1,0.61,1.1,1.1,1.2,0.93,2.1,1.6,0.73,1.1,1.3,1.2,0.96,1.6,1,1.9,1,3.4,0.65,1.5,1.1,1.4,1,1.3,1.1,1.8,0.99,1
"TGM5",1,1.2,0.82,0.95,0.89,1,0.83,0.88,1.2,0.97,1,1,2.1,0.57,2,1,1.1,1.1,0.75,0.92,1.3,1,0.66,1,0.66,1.3,1.1,1.3,0.67,2,1.3,0.84,4.3
"TGM6",1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TGM7",1,1,1,0.86,1,1,1,1,1,0.78,1,1,1,1,1,1,1,1,1,0.86,1,1,0.47,1,1,1,1,0.44,1,1,1.4,1.2,1
"TGOLN2",1.4,1.2,1.2,1.1,0.7,0.88,2.1,1.1,1.2,0.97,1.3,1,1.4,1.1,1.7,1.3,1.1,1.2,0.81,1.3,0.93,2.1,0.53,1,0.74,0.73,0.84,4.2,1,0.92,0.87,1,0.59
"TGS1",1.1,0.94,1.2,1.1,0.55,1.1,2.2,0.9,0.98,0.99,2.1,0.66,2.1,1.4,1.4,1.4,1.3,0.95,1.1,0.92,1.5,2.2,0.76,0.51,1.5,0.87,0.9,2.9,1.7,0.38,0.87,0.99,2.4
"TH",1,0.84,1.1,1.1,1.6,1.6,1,1.1,1.2,1.1,1,1,0.7,1,0.85,1,1.2,1.2,0.88,1.2,1,0.25,2.1,0.79,1.4,1.3,1,0.79,2.1,2,1.7,0.81,0.89
"TH2LCRR",1,1,1,1,1,1,1,1,1.2,1,1,1,1,1.4,0.89,1,1,1,1,1,1,0.55,1,1,1,1,1.4,1,1,0.12,1,0.87,1
"THA1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,1,1,1,1,1,1,1.5,1,1,1
"THADA",2.9,1,0.9,0.71,2.6,1.5,0.72,0.89,1.2,1,1.4,0.93,1.5,1.1,1.9,0.96,0.99,0.75,1.7,1.1,0.83,0.22,0.88,0.76,1.3,0.99,1.1,0.38,1.2,0.62,0.78,0.79,3.4
"THAP1",0.72,1,1.4,1.5,0.58,0.84,1.3,0.78,1.3,0.78,4.1,0.61,1.7,1.1,1.3,1.1,1.2,1.1,1.1,1.1,1.1,1.9,1.2,0.71,0.83,0.87,0.89,4.2,1.8,0.45,1,1,1.3
"THAP10",0.64,0.98,1.1,1,0.78,1.3,2,1.3,0.86,0.94,2.1,1,0.74,1.4,0.87,1,1.6,0.91,1.3,0.87,0.77,0.66,3,0.51,0.91,0.97,0.95,0.44,1.3,1.6,1.2,0.88,0.84
"THAP11",1.2,1,1,1.1,0.99,1.2,1.2,0.85,0.88,1.1,0.89,0.62,1.2,1.7,0.9,1.7,1.2,1.1,1,1,0.76,0.59,0.87,0.95,0.8,1.2,1.1,2,1.4,0.31,0.53,0.83,0.87
"THAP12",1.2,0.99,1.1,1.2,1.1,0.78,2.2,1.1,0.64,0.87,1.7,0.78,1.4,1.6,0.79,1.2,1.2,0.95,1.1,1.2,1.4,1.9,0.27,0.26,1.6,1.1,1,2.3,1.2,0.27,0.93,1,0.79
"THAP2",2,1.1,1.4,1.1,0.7,1.7,1.4,1.2,0.78,0.8,1,0.93,0.85,1.4,1.1,1,1.3,0.95,1.6,0.88,0.64,0.68,3.2,0.67,1.2,0.87,1.1,0.4,2.6,0.46,0.72,0.61,0.92
"THAP3",3.6,0.81,0.89,1,1.8,1.3,0.48,1.1,0.92,1,1.5,1,0.57,1.5,1.3,1.9,0.92,1,0.99,0.91,0.74,0.54,0.71,1.6,1.2,1.1,0.96,1,1.3,0.7,0.89,0.96,0.77
"THAP4",4.4,0.91,0.86,0.6,4.5,0.85,0.73,0.87,1.5,0.99,0.34,0.85,0.41,1.5,1.6,1.5,1.3,1.1,0.74,1.1,0.79,0.9,1.8,0.77,1,1.3,0.85,0.77,1.4,3.9,1.3,0.9,1.3
"THAP5",0.87,1.1,1.2,1,0.46,1.3,1.1,0.91,0.89,0.83,4.1,1,0.85,1.1,0.94,1.3,0.82,1,0.96,1.2,0.82,2.1,1.2,0.47,1.1,0.86,1.1,0.42,3.2,0.42,0.84,0.84,1.6
"THAP5P1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1.2,0.94,1,1,1,1,1
"THAP6",1,0.86,1.2,0.94,0.58,1,2.3,0.77,0.94,0.82,9.7,0.68,1,1.1,1.4,1.2,1.1,1.2,0.65,1,1.1,5.6,2,0.26,0.98,0.84,1,0.54,2.1,0.92,0.85,1,1.3
"THAP7",1.8,0.92,1.3,0.8,0.63,1.1,1.4,0.73,1,0.68,1.9,0.92,0.72,1.5,0.8,1.3,0.93,0.95,0.94,0.84,0.62,0.2,0.46,0.34,0.8,1.2,0.93,1,1.9,0.72,0.78,0.77,5.5
"THAP8",1.4,1.1,0.98,1.5,0.75,1.1,0.27,1.1,1.1,0.85,2.2,0.97,0.92,1.3,1.2,1.6,0.95,1,0.97,1.2,0.68,1,1.9,0.95,1.1,1.4,1.2,0.46,0.79,0.57,1.5,1,3.4
"THAP9",1.3,0.92,1.2,0.95,0.45,0.92,1.8,0.79,0.85,0.76,2,1,0.58,1.1,1.5,1.4,1,0.88,0.72,1,0.79,5.5,2.9,0.6,1.1,0.87,1.5,0.42,1.5,0.87,0.57,1,1.4
"THBD",1.3,1.1,0.99,1.1,0.55,1,0.66,1.3,1.5,1.2,0.27,0.68,0.98,1.1,1.7,0.91,0.98,1.3,2,1.1,1,0.19,0.8,1.7,0.69,1.1,1.3,3.1,3.4,1.3,1,0.77,1.5
"THBS1",2.1,1.3,1.2,1.5,0.43,1.3,0.93,1.1,1.4,1.4,1,0.75,1,2.1,1.8,1.1,1.1,1.5,1.7,0.92,1.2,1,0.48,0.68,1.2,0.79,1.6,2.2,1.8,5.8e+08,1.2,1.1,3
"THBS2",1.6,1.5,1.1,1.3,0.49,1.7,0.43,0.89,1.4,1,0.86,1,1.8,0.81,1.4,1,1.2,1.2,2.3,1.1,1.4,0.98,1.8,1.3,0.98,0.78,1.3,5.9e+08,1.2,8.4,1.5,0.69,5.3
"THBS3",4.2,1.1,1,1.2,1.4,1.8,0.54,0.55,1.1,1.1,0.87,1,1.5,1.4,1,0.9,1,1.1,1,0.92,0.84,1.7,2,1.7,0.84,1.1,1.3,4.1,2.1,3.1,1,1.1,2.2
"THBS4",1.4,1.6,0.82,0.91,0.77,1.6,1.1,0.78,1.3,1.1,0.76,1.1,1.2,0.92,1,0.75,0.87,0.89,0.98,0.9,1.1,6.2e+08,1.7,1.4,1.1,1.1,1.2,1,4.5,0.65,0.82,1.1,0.63
"THEG",1,1.5,1,0.65,1,1,1,0.97,1,1.1,1,1,1,1,0.67,1,1,0.88,1,1,1,1,1.7,1.5,1,1,1.5,0.33,0.57,1,1,2,1
"THEGL",0.66,1.2,1,1,1,1,1,0.84,1.2,1.2,4.5,1,1,0.64,1,1,1,1,0.96,1.2,1.1,1.4,1.5,1,0.92,0.93,1.3,1,0.4,1,2,0.56,2.4
"THEM4",1.3,0.89,1.3,1,1.3,1.1,1.5,0.86,1.2,0.92,3.8,1.1,1.6,1.7,0.96,1.8,1.1,0.86,0.92,0.94,0.59,6.8,2.2,0.76,1.3,0.98,0.85,0.38,1.2,3.9,1.2,0.79,1.2
"THEM5",1,0.82,0.91,1,0.94,0.85,1,0.91,1.3,0.97,1.2,0.63,1.4,0.99,1.1,0.89,1.1,0.76,0.63,1.1,0.86,1.5,0.66,0.36,1.3,0.9,0.7,0.68,1.2,1.9,1,1.1,1.2
"THEM6",0.62,0.84,1.5,1.2,0.87,0.94,1.2,1.1,0.93,0.83,1.8,1,0.93,2.2,0.58,1.1,0.89,1.2,0.81,1,1.2,2.7,1.2,1.3,1.2,1,0.92,0.35,0.81,0.84,0.76,2.5,4.6
"THEM7P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67,1,1,1,2.6,0.99,0.72,1,1,1,1,1,1.2,1,1,1,1,1,1
"THEMIS",0.56,0.83,0.65,0.56,0.99,0.71,0.79,1.3,1.1,0.72,2,0.83,1.5,1.3,1.4,0.63,0.77,0.97,0.96,0.83,0.96,1.3,1.5,0.86,0.67,1,1.1,6e+08,0.95,0.22,0.56,1.3,3.3
"THEMIS2",1.2,1.3,0.88,1,0.62,1,1.6,1.5,1.4,0.82,0.63,1.3,0.69,1.6,1.3,1,0.75,1.4,0.93,1.3,0.9,2.1,0.46,0.74,0.9,0.94,1.3,5.9e+08,0.5,2.2,0.96,1.3,6.5
"THEMIS3P",1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,0.8,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1
"THG1L",1.5,1.2,0.91,1.4,0.93,0.94,0.74,1.1,1,1.2,1.3,0.64,1.6,1.4,1.5,1.4,1.4,1.1,0.68,1.1,1.1,1.1,0.78,0.45,0.91,0.87,0.91,1.8,1.2,7.8,0.93,1.4,0.48
"THNSL1",0.78,0.96,1.2,0.85,1.2,0.83,2.5,0.69,0.94,1.2,2.6,1,0.75,1.2,0.56,1.3,0.97,1,0.52,1.1,0.8,2.2,1.5,0.73,1.5,0.87,1.1,0.44,1.6,1.5,0.75,1.3,0.71
"THNSL2",0.8,0.95,0.98,1.1,0.78,1,0.56,0.99,1.3,1.2,0.31,0.67,0.45,0.84,1.6,1.4,1,1.1,0.56,1,0.93,0.67,0.91,0.96,0.82,0.85,0.97,2.3,0.95,1.6,1.1,1.5,0.63
"THOC1",2.6,0.87,0.91,0.78,0.84,1.2,0.74,0.85,0.96,0.96,4,1.4,0.92,1.1,1.4,1.6,1.1,0.81,2.6,0.78,0.77,2.1,2.7,0.93,1.2,0.87,1.2,0.33,1.3,0.11,1.1,1.3,1.5
"THOC2",1.1,0.86,1.4,1,0.72,1.5,1.9,1.3,0.83,0.92,4,0.95,2,1.3,1.3,1.8,0.99,0.91,1.3,0.92,0.98,5.6,2.6,0.58,1.9,0.79,0.77,0.24,1.1,0.47,0.97,1.9,1.5
"THOC3",0.8,1,1.4,0.62,1.2,0.96,0.79,1,1.3,1.2,3.8,0.56,1.8,1.3,1.6,1.4,1.4,0.82,1.2,0.88,1.6,1.1,1.9,0.49,1.2,1.2,1,0.91,1,0.29,0.83,1.5,2.5
"THOC5",3.7,1.2,1.2,0.64,0.81,0.94,0.22,1.1,0.96,1.1,4.6,0.89,0.74,1.5,1.2,1.6,0.95,0.84,1.4,0.95,1.1,0.18,0.86,0.46,1,1.2,1,2.4,0.66,0.58,1.2,1.1,0.68
"THOC6",1,0.84,1,0.77,0.91,1.3,0.75,1,1.2,1,0.85,1.5,0.92,1.7,1.5,1.6,1.2,1.1,2.1,0.78,1,0.2,5.9e+08,0.81,1.1,1.3,0.99,2.2,1.1,0.11,1.2,1.7,4.9
"THOC7",1.7,1.1,1.1,1.1,0.9,0.82,0.67,1.1,1.5,1,9,0.93,1.2,1.2,1.3,1.5,1.4,0.8,1.3,0.83,1.5,2.7,1.2,1.3,1.1,0.83,0.91,0.23,1.2,0.74,0.67,0.94,0.87
"THOP1",2.4,1.3,1.2,0.56,1.3,0.69,0.61,0.92,0.84,0.91,2.2,0.76,0.81,1.7,1.2,0.93,1.3,0.9,1,1,0.53,2.2,3.8,0.5,1.2,1.1,0.79,0.43,1.1,0.14,0.81,1.1,0.33
"THPO",2.1,1.4,0.94,1.2,2.4,1.3,2.2,1.2,1.2,1.1,0.44,0.98,1.6,1,0.79,1.4,1,1.2,1.3,0.89,0.96,0.77,1.8,1.2,0.84,0.82,1.5,1.3,1.3,1.4,1.5,0.68,3.9
"THRA",0.63,1.2,1.2,0.92,1,0.79,3.7,1.3,1.1,0.95,1.5,1,0.54,0.86,1,1.2,0.65,1,0.75,1.1,0.94,0.21,0.49,0.21,0.88,1.3,1.3,3.2,0.99,0.81,0.98,0.89,0.89
"THRAP3",2.1,1.1,1.1,1.1,0.96,1.1,2.2,0.95,0.79,0.86,9.3,0.63,0.96,1.4,1,1.2,1.2,1.1,1.2,1.1,0.98,0.96,1.2,1,1.1,1.5,0.95,0.32,1.5,1.3,0.7,1.1,0.92
"THRAP3P1",1,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1
"THRB",0.42,0.94,0.89,1.1,0.64,0.73,0.67,1.1,1.1,1.2,1.8,1,1.6,1.3,0.73,1.1,1.5,1,1,1.1,1.2,0.76,0.28,0.91,0.79,0.93,1.6,2.9,1.7,2.3,3,1.1,0.84
"THRSP",0.51,0.81,0.79,0.97,1.7,1.1,0.76,1.3,1.1,0.92,2.6,1.7,1.2,0.96,1.2,0.72,0.87,1,1.2,0.88,0.87,0.5,0.88,0.58,0.91,1.2,0.96,1.1,0.26,2.5,0.63,1,0.52
"THSD1",1.3,1.2,1.2,1.5,1.6,1.2,1.8,1.1,0.95,1.2,1.2,0.79,1.6,1.2,1.8,0.9,0.7,1.3,2,0.98,0.71,0.46,2,2.2,0.65,0.89,1.2,1.5,0.69,1.1,0.85,1.3,2.9
"THSD4",1.3,1.3,0.83,1.3,0.94,0.75,0.36,0.76,0.98,1.2,1.1,0.93,1.8,1.2,0.59,0.98,1.1,1,1.1,0.98,1.2,1,0.84,0.54,0.92,1.1,1.3,0.43,0.44,0.36,1,0.88,1
"THSD7A",1,1.5,1,0.94,0.46,1.5,1.2,1.1,0.96,0.78,2.2,0.59,0.85,0.81,0.78,1.3,1.1,1.1,1.2,0.86,1.1,0.74,0.62,1.9,1.2,0.8,1.6,4.1,4.1,0.77,1,0.99,2.1
"THSD7B",1.3,1.3,0.73,1,0.77,1.4,1.3,0.65,0.73,0.95,0.98,1,2,0.7,1,1,0.82,0.96,0.94,0.98,0.93,2.6,0.42,1.8,1.3,1,1.4,5.3e+08,1.5,0.57,1,1.3,0.66
"THTPA",0.8,1.3,0.72,0.99,0.63,0.8,0.36,0.73,1.1,1,1.6,1,0.5,1.3,0.56,1.3,1,0.83,1,0.79,0.7,1.4,0.62,0.71,0.77,0.98,1.1,1.3,0.82,0.56,0.6,0.79,2.7
"THUMPD1",0.42,0.99,1.1,0.83,0.41,0.89,2.3,0.92,0.98,0.91,0.68,1,1,0.63,0.92,1,1.1,1,0.91,0.95,1.4,1.1,1.7,0.57,1,0.95,1.3,2.1,1.4,1.5,0.77,0.96,0.99
"THUMPD2",3.6,0.78,1.3,1.3,0.9,1,1.4,0.85,1.2,1.1,8.8,0.88,1.1,1.4,1.1,1.5,1.4,0.85,1.2,0.83,1,2.1,11,0.7,1.3,0.93,0.95,0.43,1,0.64,1.4,0.49,1.6
"THUMPD3",2.3,0.9,1.2,0.99,0.67,0.97,0.54,1.1,1,0.97,7.1e+08,0.7,0.98,1.6,1.5,1.5,1.4,0.91,1.2,1.1,1.5,2.3,2.3,0.58,1.3,1,0.98,0.33,2,1.5,0.66,1.1,1.2
"THY1",0.94,1.3,1.4,1.2,0.86,1.4,0.48,1,1.6,0.93,1.7,0.94,2,1,0.82,1.1,1,1.4,1,1.3,1.1,1.1,0.78,0.88,0.77,1.3,1.2,4.1,1.6,0.88,0.8,1.1,3.3
"THYN1",1.6,0.92,1,0.86,0.47,1.2,1.2,0.81,0.94,0.85,9.7,0.73,0.5,1.6,0.99,1.1,0.73,0.77,0.92,0.91,0.95,2.1,2.1,0.45,0.63,0.62,1.1,2.8,0.46,1,0.62,0.63,4.9
"TIA1",2.9,0.75,1,1.1,0.8,1.3,2.2,1.2,0.83,0.67,4.6,1.3,0.94,0.87,1.1,1.3,1,0.98,1.4,1,0.91,5.7,1.9,0.24,1.3,1,0.9,1.4,0.9,0.52,1.1,0.87,1.6
"TIAF1",1.6,1.1,1.3,1,2.5,1.3,2,1,1.2,0.89,0.46,1.6,1.3,0.99,0.83,1.1,0.96,1,1.2,1.1,0.65,0.63,1.7,0.68,0.73,0.91,0.9,0.53,1.9,0.69,1.3,1.3,3.2
"TIAL1",4.2,0.96,1.4,1.3,0.59,1.4,0.76,1,0.82,1,3.8,0.64,1.8,1.3,0.58,1.3,1.3,0.98,1.4,1,1.3,5.1,1.9,0.54,1.2,0.94,1.1,0.34,2.5,0.12,0.83,0.64,1.2
"TIAM1",1.5,0.98,0.92,0.73,0.49,1.4,0.99,0.89,1.1,0.69,0.74,0.76,0.75,1.3,0.74,0.8,0.92,0.97,1.6,1.3,0.62,0.55,2.3,1.5,1.1,0.84,1.2,0.43,0.83,0.63,1.3,0.86,1.2
"TIAM2",1.1,1.1,1.2,0.76,1.1,1.3,3.4,0.97,0.92,0.87,2.4,0.93,0.97,0.88,1.3,1.3,1.1,1,1.5,1.3,1.1,0.34,1.9,0.46,1.2,0.84,1.1,0.44,1.9,0.15,0.95,0.68,0.78
"TICAM1",2.2,0.93,1.1,1,0.5,1,2.5,0.9,1.2,0.92,1.7,0.57,0.77,1.4,1.6,1.2,1.3,1.3,1.2,1.2,1.3,1.7,1.4,1.3,0.55,1.2,0.76,5.9e+08,1.3,2.7,1.1,1.5,5
"TICAM2",1.6,1.1,1,1.3,1.3,1.4,1.2,1,1.2,0.77,0.87,1.2,1.3,0.84,1,1.2,1,1,1,0.82,1.1,1.4,0.89,1.7,0.94,1,1.4,4,1.4,6.2,2.3,0.76,3.1
"TICRR",1,1,1.3,0.88,2.1,1.2,1.4,1.3,0.95,1,3.3,1,3.1,1.6,1.7,1.9,1.3,0.85,1,0.98,1.7,4.6,4.1,0.77,1.9,1.5,0.82,3.1,2.4,0.21,0.98,0.46,1.3
"TIE1",1.2,1.3,1.1,0.91,1,1.2,3.2,1.1,0.94,0.87,0.31,0.66,1.8,0.96,0.78,0.83,0.8,1.4,2.5,0.93,0.73,0.55,0.96,1.9,0.82,1.1,1.4,2.4,3.1,1.2,1.4,1.5,3.1
"TIFA",1.7,0.9,0.8,1.2,0.54,0.76,2.4,1,1.1,0.84,10,0.7,1.4,1.9,1,1.2,1,0.9,1,0.92,1.8,4.5,1.1,1.1,1,0.75,0.77,4.2,1.1,0.99,0.54,1.3,1.3
"TIFAB",1,0.74,0.67,0.72,0.75,0.66,0.86,1.3,1.2,0.64,1.1,0.76,1.2,1.1,1.4,1,0.7,1,0.64,0.75,0.77,0.67,0.95,0.56,0.52,0.61,1,4.3,0.51,1.8,0.93,0.64,6.5
"TIGAR",3.3,1.1,1,1.5,1,0.78,3.3,0.96,1.3,1,3.3,0.79,1.2,1.6,1,1.4,1,1.1,1.3,1.2,1.2,2.5,1.9,0.83,0.89,1.2,0.82,0.99,1,0.87,0.9,1.4,1.5
"TIGD1",1,0.92,1.3,0.85,1.1,1.9,0.39,1.2,0.78,0.98,0.81,1.2,0.93,1.2,0.54,1.3,1,1.2,1.6,0.94,0.98,2.2,2.2,0.87,1.5,1,0.99,0.23,0.95,0.45,0.99,0.59,1.7
"TIGD2",1.3,0.92,1.2,1.2,0.91,0.62,0.49,1,1.1,1,4.2,0.56,0.9,1.4,0.84,0.93,1,0.96,1.5,1.1,1.5,5,0.96,0.44,1.7,1.2,1.1,1,0.76,0.77,0.76,1,0.55
