"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"HEPACAM",1,1,0.017,1,1,1,0.35,1,0.69,1,1,0.015,1,1,0.41,0.31,1,1,0.094,0.25,0.032,0.94,0.84,1,1,0.01,0.032,0.72,1,0.3,1,0.89,1
"HEPACAM2",0.96,0.72,0.05,0.44,0.99,0.016,0.86,0.097,0.88,0.18,0.82,0.01,0.072,0.34,0.78,0.29,0.22,0.89,1,0.58,0.034,0.57,0.28,0.063,0.68,0.16,0.84,0.42,0.88,0.0054,0.24,0.17,0.55
"HEPH",0.14,0.043,0.8,0.61,0.25,0.079,0.83,0.24,0.29,0.54,0.099,0.00068,0.013,0.68,0.076,0.5,0.95,0.18,0.2,0.39,0.031,0.93,0.53,0.6,0.32,0.64,0.99,0.049,0.38,0.71,0.69,0.74,0.06
"HEPHL1",0.88,0.32,0.76,0.015,0.81,0.58,1,0.81,0.72,0.97,0.52,0.15,0.47,0.17,0.21,0.11,1,0.66,0.14,0.4,0.69,0.3,0.2,0.22,0.42,0.026,0.3,0.87,0.43,0.19,0.84,0.56,1
"HEPN1",1,1,0.0058,0.77,0.46,1,0.32,1,0.88,1,1,0.025,0.53,1,0.51,0.71,1,0.62,0.32,0.1,0.067,0.98,0.067,1,0.11,0.0065,0.49,0.82,1,0.051,0.91,0.3,0.22
"HERC1",0.058,0.47,0.13,0.41,0.93,0.064,0.27,0.16,0.98,0.022,0.053,1,0.53,0.031,0.049,0.9,0.18,0.26,0.56,0.13,1,0.82,0.11,0.66,0.29,0.1,0.61,0.95,0.75,0.6,0.88,0.46,0.4
"HERC2",0.049,0.4,0.68,0.21,0.47,0.73,0.21,0.19,0.73,0.62,0.74,0.57,0.48,0.61,0.73,0.63,0.99,0.035,0.47,0.39,0.00018,0.63,0.35,0.3,0.62,0.62,0.75,0.45,0.41,0.45,0.73,0.92,0.0085
"HERC2P10",0.45,0.21,0.77,0.47,0.98,0.67,0.075,0.056,0.34,0.81,0.046,0.56,0.44,0.5,0.02,1,0.41,0.62,0.62,0.54,0.94,0.25,0.57,0.35,0.5,0.62,0.83,0.53,0.1,0.2,0.27,0.69,0.95
"HERC2P2",0.041,0.1,0.75,0.15,0.71,0.35,0.71,0.94,0.48,0.035,0.054,0.0014,0.79,0.12,0.92,0.85,0.61,0.34,0.98,0.61,0.021,0.99,0.024,0.69,0.32,0.13,0.86,0.76,0.91,0.65,0.19,0.45,0.58
"HERC2P3",0.17,0.037,0.87,0.23,0.59,0.38,0.27,0.98,0.73,0.31,0.41,0.44,0.49,0.059,0.43,0.94,0.46,0.37,0.17,0.23,0.87,0.34,0.66,0.3,0.76,0.082,0.85,0.56,0.43,0.57,0.33,0.55,0.97
"HERC2P4",0.27,0.94,0.58,0.36,0.93,0.39,0.72,0.54,0.27,0.56,0.79,0.085,0.66,0.2,0.094,0.42,0.26,0.28,0.98,0.21,0.041,0.23,0.12,0.4,0.045,0.098,0.014,0.32,0.29,0.55,0.22,0.73,0.43
"HERC2P5",0.2,0.44,0.14,0.28,0.18,0.96,0.84,0.41,0.47,0.92,0.5,0.17,0.61,0.63,0.02,0.43,0.19,0.15,0.43,0.59,0.005,0.04,0.4,0.71,0.14,0.44,0.12,0.19,0.39,0.72,0.25,0.61,0.44
"HERC2P7",1,0.35,0.65,1,0.99,0.29,1,0.072,0.41,1,0.76,0.34,0.71,0.7,0.32,0.77,0.14,0.6,0.88,0.18,0.72,0.95,0.36,0.23,0.22,0.092,0.3,0.21,0.073,0.69,0.55,0.36,0.64
"HERC2P8",0.29,0.44,0.31,0.45,0.13,0.6,0.33,0.53,0.18,0.89,0.19,0.23,0.44,0.36,0.034,0.24,0.1,0.17,0.69,0.84,0.031,0.8,0.084,0.3,0.098,0.61,0.031,0.48,0.12,0.23,0.38,0.97,0.22
"HERC2P9",0.001,0.22,0.53,0.48,0.97,0.64,0.21,0.32,0.75,0.098,0.32,0.0072,0.66,0.23,0.99,0.88,0.51,0.44,0.71,0.8,0.01,0.099,0.43,0.5,0.67,0.1,0.42,0.73,0.94,0.82,0.2,0.99,0.59
"HERC3",0.63,0.98,0.37,0.98,0.94,0.16,0.11,0.22,0.52,0.67,0.17,0.0016,0.29,0.11,0.41,0.39,0.9,0.46,0.016,0.98,0.54,0.4,1,0.076,0.74,0.99,0.99,1,0.23,0.47,0.46,0.84,0.48
"HERC4",0.43,0.47,0.16,0.078,0.16,0.63,0.27,0.87,0.51,0.74,0.15,0.91,0.28,0.82,0.013,0.5,0.025,0.086,0.9,0.89,0.002,0.017,0.35,0.15,0.0089,0.49,0.69,0.61,0.56,0.89,0.9,0.7,0.92
"HERC5",0.72,0.38,0.59,0.0065,0.74,0.39,0.92,0.3,0.98,0.28,0.8,0.032,0.79,0.42,1,0.41,0.4,0.66,0.53,0.097,0.74,0.088,0.34,0.94,0.094,0.047,0.3,0.49,0.9,0.71,0.064,0.092,0.53
"HERC6",0.59,0.75,0.8,0.78,0.11,0.82,0.26,0.44,0.58,0.98,0.77,0.0035,0.07,0.39,1,0.85,0.87,0.35,0.092,0.59,0.17,0.6,0.44,0.34,0.13,0.027,0.66,0.76,0.16,0.078,0.72,0.5,0.16
"HERPUD1",0.23,0.28,0.46,0.69,0.41,0.3,0.34,0.66,0.94,0.097,0.77,1,0.15,0.73,0.29,0.76,0.014,0.015,0.04,0.49,0.65,0.13,0.67,0.2,0.0096,0.03,0.21,0.55,0.4,0.17,0.56,0.72,0.098
"HERPUD2",0.46,0.037,0.043,0.023,0.29,0.92,0.068,0.69,0.93,0.13,0.11,1,0.45,0.84,0.22,0.56,0.36,0.49,0.82,0.081,0.62,0.39,0.29,0.44,0.97,0.31,0.12,0.43,0.29,0.72,0.73,0.28,0.45
"HES1",0.087,0.085,0.039,0.39,0.1,0.13,0.09,0.091,0.45,0.48,0.015,0.92,0.53,0.48,0.27,0.95,0.68,0.2,0.087,0.23,0.33,0.016,0.7,0.58,0.26,0.58,0.84,0.46,0.86,0.75,0.89,0.93,0.0091
"HES2",0.0058,0.028,0.81,0.46,0.53,0.73,0.25,0.2,0.12,0.73,0.74,0.44,0.003,0.84,0.83,0.0011,0.62,0.23,0.00044,0.045,0.27,0.46,0.95,0.57,0.58,0.0025,0.14,0.48,0.71,0.47,0.27,0.55,0.043
"HES3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48,1,0.94,1,1,1
"HES4",1,0.023,0.99,0.12,0.86,0.053,0.11,0.39,0.71,0.85,0.19,0.28,0.71,0.36,0.84,0.034,0.069,0.16,0.64,0.3,0.86,0.14,0.36,0.74,0.069,0.016,0.44,0.067,0.35,0.45,0.98,0.47,0.044
"HES5",0.087,0.72,0.031,0.22,0.67,0.38,0.46,0.29,0.029,0.043,0.13,0.083,0.97,1,0.013,0.019,0.24,0.28,0.55,0.65,0.21,0.44,0.82,0.63,0.14,0.43,0.01,0.8,0.21,0.86,0.27,0.5,0.07
"HES6",0.001,0.31,0.6,0.15,0.87,0.94,0.98,0.75,0.33,0.49,0.57,0.23,0.74,0.29,0.00064,0.053,1,0.035,0.85,0.18,0.081,0.23,0.98,0.58,0.75,0.31,0.77,0.56,0.13,0.81,0.6,0.57,0.00029
"HES7",0.0021,0.97,0.86,0.097,0.9,0.052,0.78,0.66,0.68,0.64,0.32,1,0.08,0.91,0.14,1,0.069,0.22,0.0042,0.3,0.56,0.44,0.83,0.94,0.22,0.24,0.23,0.66,0.29,0.43,0.54,0.092,1
"HESX1",0.36,0.65,0.072,0.035,0.55,0.83,0.13,0.085,0.27,0.48,0.0043,0.00011,0.38,0.72,1,0.97,0.058,0.96,0.071,0.52,0.19,0.69,0.033,0.54,0.59,0.003,0.74,0.06,0.023,0.034,0.12,0.98,0.3
"HEXA",0.9,0.24,0.34,0.042,0.84,0.31,0.97,0.22,0.078,0.23,0.085,0.25,0.53,0.47,0.00071,0.12,0.93,0.88,0.55,0.32,0.12,0.1,0.48,0.76,0.65,0.14,0.1,0.019,0.35,0.87,0.078,0.78,0.00024
"HEXB",0.071,0.68,0.59,0.63,0.091,0.58,0.29,0.49,0.0088,0.075,0.088,0.86,0.71,0.75,1,1,0.58,0.49,0.086,0.12,0.27,0.34,0.88,0.51,0.17,0.12,0.094,0.056,0.68,0.58,0.74,0.45,0.0011
"HEXDC",0.017,0.0073,0.84,0.005,0.7,0.6,0.39,0.37,0.16,0.044,0.71,0.96,0.089,0.36,0.73,0.22,0.096,0.73,1,0.069,0.016,0.77,0.091,0.53,0.8,0.0095,0.6,0.83,0.77,0.26,0.36,0.83,0.14
"HEXIM1",0.041,0.35,0.18,0.11,0.38,0.24,0.29,0.56,0.33,0.83,0.29,0.015,0.65,0.00017,0.58,0.6,0.073,0.83,0.82,0.98,0.36,0.19,0.3,0.28,0.087,0.24,0.98,0.35,0.57,0.41,0.09,0.48,0.0075
"HEXIM2",0.16,0.58,0.35,0.0061,0.33,0.44,0.79,0.018,0.9,0.18,0.045,0.00071,0.29,0.34,0.029,0.32,0.19,0.13,1,0.63,0.66,0.075,0.43,0.89,0.21,0.12,0.3,0.47,0.34,0.64,0.28,0.32,0.0096
"HEY1",0.18,0.24,0.86,0.17,0.11,0.14,0.43,0.68,0.087,0.27,0.35,0.033,0.00079,0.91,0.00069,0.089,0.84,0.12,0.0036,0.96,0.25,0.86,0.13,0.07,0.13,0.71,0.22,0.34,0.068,0.27,0.99,0.47,0.06
"HEY2",0.24,0.49,0.74,0.12,0.79,0.057,0.5,0.86,0.9,0.034,0.74,0.0066,0.18,0.039,0.024,0.78,0.39,0.34,0.0077,0.074,0.19,0.37,0.79,0.89,0.42,0.013,0.3,0.33,0.078,0.84,0.98,0.82,0.52
"HEYL",0.022,0.0012,0.46,0.11,0.79,0.1,0.17,0.076,0.21,0.45,0.71,0.64,0.0046,0.42,0.045,0.78,0.94,0.077,0.0078,0.028,0.7,0.57,0.22,0.6,0.87,0.098,0.14,0.31,0.16,0.5,0.96,0.15,0.089
"HFE",0.00041,0.45,0.15,0.063,0.46,0.36,0.45,0.56,0.061,0.62,0.87,0.00018,0.55,0.5,1,0.97,0.28,0.78,0.6,0.094,0.012,0.89,0.66,0.26,0.15,0.044,0.16,0.33,0.25,0.22,0.27,0.56,1
"HFE2",0.25,1,1,1,0.35,1,1,0.73,0.69,0.097,1,0.028,0.31,0.72,0.0019,0.37,0.39,1,0.11,0.32,0.78,1,0.44,1,0.21,1,1,0.75,1,1,1,0.29,1
"HFM1",0.95,0.88,0.45,0.22,0.55,0.14,0.25,0.7,0.23,0.61,0.31,0.2,0.078,0.97,0.24,0.021,0.22,0.69,0.59,0.72,0.003,0.37,0.21,0.74,0.13,0.28,0.018,0.52,0.43,0.14,0.51,0.028,0.43
"HGD",0.0051,0.7,0.39,0.95,0.96,0.37,0.32,0.55,0.82,0.29,0.89,0.0046,0.71,0.51,0.0064,0.0039,0.094,0.38,0.23,0.25,0.64,0.15,0.26,0.014,0.89,0.58,0.88,0.21,0.47,0.022,0.33,0.59,0.55
"HGF",0.0066,0.16,0.92,0.88,0.99,0.7,0.89,0.99,0.33,0.072,0.63,0.32,0.77,0.011,1,0.81,0.047,0.0057,0.015,0.78,0.73,0.46,0.97,0.29,0.98,0.083,0.0041,0.36,0.28,0.61,0.18,0.34,0.1
"HGFAC",0.0078,0.19,0.21,0.61,0.84,0.35,0.37,0.38,0.38,0.09,0.85,0.00052,0.91,0.39,0.31,0.016,0.13,0.75,0.33,0.78,0.016,0.38,0.21,0.5,0.89,0.25,0.93,0.51,0.87,0.16,0.83,0.6,0.71
"HGH1",0.1,0.71,0.021,0.00038,0.59,0.3,0.45,0.52,0.053,0.12,0.3,0.0061,0.094,0.077,0.16,0.094,0.53,0.4,0.15,0.8,0.89,0.36,0.038,0.41,0.0099,0.023,0.13,0.99,0.92,0.72,0.42,0.043,0.039
"HGS",0.0032,0.15,0.92,0.62,0.58,0.43,0.82,0.48,0.2,0.36,0.54,0.0012,0.52,0.12,0.84,0.0017,0.19,0.92,0.11,0.95,0.3,0.89,0.65,0.68,1,0.066,0.77,0.77,0.77,0.79,0.0015,0.59,0.93
"HGSNAT",1,0.98,0.56,0.82,0.42,0.44,0.32,0.39,0.19,0.032,0.48,0.00038,0.29,0.52,0.011,0.72,0.013,0.87,0.22,0.66,0.89,0.86,0.099,0.51,0.47,0.077,0.46,0.48,0.33,0.47,0.66,0.66,0.55
"HHAT",0.11,0.43,0.46,0.57,0.73,0.67,0.1,0.69,0.42,0.56,0.36,1,0.083,0.085,0.39,0.58,0.069,0.48,0.25,0.91,0.24,0.23,0.62,0.32,0.97,0.0015,0.54,0.46,0.92,0.77,0.19,0.034,0.41
"HHATL",0.11,1,0.052,0.13,0.53,1,0.47,1,0.18,0.086,0.87,0.032,0.64,1,0.38,0.94,0.092,0.26,0.26,0.04,0.75,0.58,0.53,1,0.69,0.024,1,0.41,0.88,0.3,0.59,0.097,0.018
"HHEX",0.95,0.11,0.079,0.0027,0.32,0.49,0.62,0.43,0.48,0.0073,0.55,0.73,0.64,0.61,0.00092,0.17,0.23,0.14,0.39,0.2,0.1,0.14,0.6,0.79,0.17,0.0015,0.34,0.6,0.86,0.11,0.67,0.29,0.097
"HHIP",0.71,0.5,0.53,0.21,0.76,0.73,0.42,0.35,0.8,0.97,0.85,0.72,0.27,0.036,0.00012,0.51,0.54,0.13,0.56,0.82,0.26,0.42,0.47,0.54,0.1,0.28,0.043,0.46,0.12,0.017,0.84,0.92,0.13
"HHIPL1",0.051,0.001,0.48,0.1,0.53,0.41,0.26,0.67,0.23,0.3,0.99,0.13,0.48,0.93,0.031,0.14,0.091,0.39,0.38,0.12,0.64,0.65,0.064,0.45,0.58,0.04,0.51,0.3,0.22,0.49,0.022,0.83,0.71
"HHIPL2",0.018,0.43,0.33,0.31,0.62,0.73,0.52,0.46,0.75,0.38,1,1,0.45,0.47,0.11,0.024,0.0011,0.46,0.47,0.23,0.16,0.36,0.53,0.58,0.91,0.21,0.2,0.049,0.91,0.88,0.58,0.065,0.23
"HHLA1",1,0.17,1,0.44,1,0.068,1,0.33,1,0.09,0.24,1,1,0.035,0.55,1,1,0.22,0.33,0.75,1,1,1,0.96,1,1,0.15,0.33,1,1,1,1,1
"HHLA2",0.29,0.045,0.15,0.35,0.65,0.63,0.059,0.92,0.99,0.8,0.065,1,0.74,0.078,0.28,0.17,0.65,0.85,0.64,0.25,0.007,0.31,0.21,0.38,0.39,0.057,0.29,0.61,0.25,0.61,0.44,0.72,1
"HHLA3",0.77,0.091,0.25,0.74,0.78,0.21,0.91,0.57,0.58,0.2,0.11,0.12,0.88,0.08,0.00021,0.67,0.77,0.76,0.81,0.39,0.79,0.07,0.57,0.43,0.69,0.9,0.79,0.32,0.31,0.16,0.71,0.11,0.071
"HIBADH",0.6,0.93,0.13,0.029,0.97,0.24,0.6,0.67,0.64,0.039,0.27,1,0.0019,0.76,0.0098,0.34,0.06,0.9,0.27,1,0.38,0.11,0.11,0.26,0.15,0.23,0.89,0.31,0.45,0.48,0.78,0.04,0.99
"HIBCH",0.14,0.12,0.014,0.87,0.95,0.39,0.19,0.97,0.64,0.0095,0.28,1,0.16,0.17,0.98,0.55,0.77,0.5,0.00087,0.7,0.5,0.3,0.52,0.14,0.69,0.21,0.77,0.53,0.16,0.028,0.93,0.02,0.63
"HIC1",0.013,0.028,0.83,0.7,0.31,0.56,0.98,0.87,0.081,0.3,0.88,0.8,0.11,0.68,0.35,0.88,0.93,0.31,0.09,0.52,0.048,0.38,0.68,0.89,0.55,0.76,0.22,0.04,0.65,0.86,0.8,0.73,0.00095
"HIC2",0.00011,0.19,0.13,0.36,0.87,0.5,0.74,0.38,0.32,0.82,0.66,0.0031,0.7,0.11,0.095,0.41,0.9,0.26,0.92,0.13,0.083,0.14,0.79,0.29,0.72,0.025,0.81,0.54,0.94,0.024,0.87,0.5,0.71
"HID1",0.8,0.011,0.14,0.74,0.6,0.51,0.96,0.61,0.92,0.053,0.6,0.0012,0.7,0.75,0.85,0.51,0.51,0.0062,0.81,0.74,0.048,0.72,0.66,0.62,0.042,0.0011,0.56,0.59,0.21,0.25,0.7,0.17,0.13
"HIF1A",0.64,0.095,0.19,0.14,0.77,0.96,0.79,0.9,0.17,0.35,0.28,0.38,0.41,0.91,0.51,0.089,0.034,0.52,0.029,0.46,0.3,0.16,0.59,0.64,0.97,0.91,0.064,0.44,0.25,0.5,0.6,0.63,0.6
"HIF1AN",0.098,0.16,0.3,0.38,0.1,0.91,0.69,0.57,0.32,0.62,0.21,0.00049,0.84,0.57,0.052,0.22,0.84,0.47,0.84,0.016,0.43,0.16,0.46,0.87,0.75,0.72,0.79,0.48,0.66,0.21,0.78,0.51,0.55
"HIF3A",0.052,0.22,0.56,0.58,0.77,0.85,0.062,0.87,0.94,0.6,0.17,0.56,0.15,0.15,0.33,0.48,0.81,0.78,0.47,0.099,0.36,0.41,0.09,0.45,0.73,0.043,0.003,0.32,0.023,0.42,0.23,0.42,0.69
"HIGD1A",0.17,0.94,0.62,0.46,0.58,0.012,0.61,0.52,0.66,0.9,0.014,0.0043,0.12,0.0043,0.86,0.48,0.35,0.93,0.39,0.78,0.081,0.8,0.45,0.14,0.76,0.29,0.33,0.73,0.92,0.56,0.73,0.18,0.9
"HIGD1AP1",1,1,1,1,1,1,1,1,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,1,1,1,1,1,1
"HIGD1AP11",1,1,0.39,1,1,1,1,1,0.37,1,1,1,1,1,0.043,1,0.21,1,0.42,1,0.54,1,0.15,0.087,0.65,1,1,0.32,1,1,1,0.98,1
"HIGD1AP14",1,1,1,1,1,1,1,0.55,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HIGD1AP16",1,1,1,1,1,1,1,0.41,1,1,1,1,1,0.54,1,1,1,1,1,0.33,1,1,1,1,1,1,0.98,1,1,1,1,1,1
"HIGD1AP17",1,1,1,1,1,1,1,0.56,1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HIGD1B",0.26,0.24,0.93,0.19,0.28,0.037,0.2,0.8,0.88,0.057,0.88,0.26,0.0057,0.87,0.6,0.94,0.2,0.00016,0.075,0.65,0.91,0.21,0.69,0.53,0.33,0.064,0.0094,0.42,0.045,0.086,0.63,0.43,0.008
"HIGD1C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1
"HIGD2A",0.25,0.51,0.84,0.2,0.99,0.7,0.29,0.25,0.53,0.75,0.028,0.34,0.35,0.75,0.72,0.012,0.61,0.87,0.018,0.15,0.031,0.64,0.79,0.87,0.0052,0.52,0.28,0.45,0.99,0.86,0.76,0.34,0.29
"HIGD2B",1,1,0.36,1,0.53,1,1,0.66,1,1,1,1,0.99,1,1,1,1,0.2,1,0.5,1,1,0.39,1,1,0.73,0.24,0.8,1,0.38,0.33,1,0.82
"HIKESHI",0.0047,0.62,0.031,0.31,0.72,0.047,0.24,0.89,0.46,0.88,0.21,0.088,0.33,0.56,0.21,0.00073,0.1,0.12,0.19,0.037,0.33,0.97,0.69,0.14,0.43,0.89,0.083,0.5,0.12,0.38,0.38,0.19,0.0011
"HILPDA",0.041,0.86,0.55,0.082,0.4,0.8,0.89,0.36,0.11,0.17,0.00091,0.27,0.22,0.12,0.0078,1,0.021,0.56,0.0021,0.94,0.031,0.12,0.18,0.34,0.45,0.047,0.07,0.54,0.85,0.77,0.4,0.77,0.61
"HILS1",1,1,0.051,1,0.22,0.012,1,0.93,0.61,0.46,1,0.76,0.34,1,1,1,0.085,0.011,1,0.58,0.13,0.55,0.57,0.53,0.65,0.072,0.45,0.59,1,1,1,0.85,0.0018
"HINFP",0.0012,0.41,0.63,0.69,0.088,0.19,0.58,0.87,0.16,0.14,0.51,0.52,0.35,0.19,0.61,0.0044,0.27,0.81,0.033,0.75,0.2,0.22,0.0028,0.12,0.88,0.54,0.9,0.33,0.37,0.27,0.17,0.24,0.26
"HINT1",0.14,0.92,0.073,0.75,0.47,0.016,0.26,0.35,0.14,0.94,0.015,0.019,0.74,0.4,0.8,0.19,0.032,0.2,0.048,0.75,0.54,0.38,0.31,0.33,0.87,0.093,0.97,0.47,0.96,0.37,0.062,0.58,0.48
"HINT2",0.1,0.93,0.2,0.3,0.79,0.89,0.26,0.69,0.88,0.32,0.87,0.0012,0.0091,0.0046,0.069,0.76,0.62,0.83,0.022,0.0044,0.013,0.89,0.13,0.37,0.27,0.48,0.88,0.8,0.8,0.11,0.15,0.46,0.00038
"HINT3",0.83,0.59,0.067,0.012,0.85,0.52,0.074,0.6,0.34,0.66,0.45,1,0.77,0.77,0.00054,0.42,0.62,0.33,0.68,0.68,0.87,0.85,0.39,0.23,0.61,0.32,0.96,0.32,0.38,0.67,0.025,0.68,0.32
"HIP1",0.38,0.89,0.19,0.88,0.16,0.25,0.97,0.17,0.78,0.79,0.76,0.0027,0.36,0.071,0.15,0.85,0.11,0.31,0.51,0.68,0.57,0.37,0.44,0.55,0.56,0.62,0.46,0.7,0.28,0.73,0.24,0.5,0.00083
"HIP1R",0.06,0.017,0.46,0.63,0.03,0.93,0.96,0.42,0.48,0.011,0.84,0.018,0.44,0.72,1,0.2,0.88,0.53,0.021,0.7,0.59,0.9,0.11,0.88,0.82,0.079,0.14,0.59,0.34,0.49,0.63,0.17,0.12
"HIPK1",0.3,0.061,0.82,0.092,0.29,0.25,0.27,0.8,0.46,0.055,0.55,0.00087,0.076,0.63,0.039,0.26,0.96,0.57,0.057,0.64,0.67,0.42,0.34,0.4,0.21,0.5,0.62,1,0.12,0.25,0.47,0.59,0.64
"HIPK2",0.65,0.33,0.82,0.11,0.71,0.13,0.73,0.59,0.68,0.6,0.084,1,0.51,0.63,0.019,0.87,0.7,0.61,0.57,0.76,0.0029,0.28,0.34,0.72,0.12,0.046,0.63,0.34,0.91,0.14,0.59,0.6,0.1
"HIPK3",0.8,0.14,0.62,0.15,0.05,0.13,0.27,0.91,0.16,0.1,0.097,1,0.93,0.15,0.093,0.18,0.54,0.67,0.15,0.73,0.66,0.11,0.77,0.42,0.27,0.29,0.14,0.47,0.2,0.76,0.69,0.55,0.81
"HIPK4",0.01,0.6,0.12,0.47,0.21,0.046,0.24,0.35,0.18,0.62,0.25,0.92,0.79,0.96,0.62,0.29,0.027,0.17,0.065,0.13,0.81,0.13,0.65,0.044,0.039,0.43,0.77,0.14,0.58,0.68,0.059,0.55,0.11
"HIRA",0.0084,0.47,0.038,0.88,0.15,0.023,0.27,0.31,0.14,0.73,0.58,1,0.0016,0.23,0.068,0.64,0.61,0.41,0.67,0.86,0.084,0.75,0.3,0.023,0.7,0.084,0.8,0.92,0.67,0.0059,0.33,0.3,0.48
"HIRIP3",0.7,0.12,0.33,0.14,0.32,0.29,0.38,0.4,0.23,0.5,0.69,0.009,0.082,0.0014,0.78,0.23,0.31,0.45,0.15,0.17,0.14,0.85,0.15,0.08,0.24,0.71,0.49,0.33,0.37,0.011,0.36,0.86,0.019
"HIST1H1A",1,1,1,1,1,1,1,0.35,1,1,1,1,1,1,1,1,1,1,1,0.71,1,1,1,1,1,1,1,0.086,1,1,1,1,1
"HIST1H1B",1,0.39,0.5,0.041,0.74,0.83,0.035,0.14,0.72,0.091,1,1,1,0.89,1,0.028,0.18,0.12,0.017,0.63,0.062,1,0.28,0.54,0.54,0.55,0.16,0.5,1,0.016,0.033,0.052,1
"HIST1H1C",0.00084,0.039,0.4,0.0069,0.54,0.39,0.29,0.62,0.54,0.22,0.76,0.31,0.36,0.022,1,0.92,0.095,0.43,0.023,0.91,0.2,0.82,0.63,0.0084,0.72,0.65,0.94,0.49,0.19,0.006,0.1,0.0068,0.00041
"HIST1H1D",0.018,0.75,0.57,0.016,0.56,0.093,0.18,0.16,0.28,0.36,0.21,0.00072,0.54,0.15,1,1,0.17,0.49,0.73,0.69,0.0029,0.49,0.41,0.65,0.18,0.18,0.63,0.82,0.24,0.32,0.5,0.94,1
"HIST1H1E",1,0.044,0.22,0.76,0.73,0.028,0.22,0.19,0.91,0.99,0.26,1,0.064,0.26,0.038,0.72,0.032,0.82,0.028,0.47,0.45,0.35,0.85,0.94,0.63,0.71,0.15,0.75,0.083,0.32,0.71,0.54,0.4
"HIST1H1PS1",1,0.83,0.26,0.67,0.082,1,0.84,0.99,1,0.34,1,0.43,1,0.028,1,1,1,0.69,0.49,0.85,1,1,0.98,0.096,1,0.04,0.94,0.78,1,0.81,0.94,0.3,0.72
"HIST1H1T",1,1,0.19,0.52,0.77,1,1,0.29,1,0.15,1,0.36,1,0.13,1,1,0.15,1,1,0.94,1,1,0.95,1,1,1,0.31,0.47,1,0.61,1,0.81,1
"HIST1H2AB",1,0.16,1,0.43,1,0.34,0.096,0.58,0.72,0.51,1,1,1,1,1,1,1,0.39,1,0.28,1,1,1,0.25,1,0.33,0.014,0.5,1,0.0089,0.75,0.23,1
"HIST1H2AC",0.0022,0.13,0.57,0.44,0.66,0.01,0.49,0.42,0.65,0.63,0.25,0.038,0.095,0.76,1,0.94,0.4,0.75,0.0027,0.74,0.0076,0.68,0.82,0.23,0.77,0.25,0.72,0.63,0.46,0.0074,0.25,0.017,0.073
"HIST1H2AD",0.019,0.43,0.73,0.13,0.12,0.55,0.63,0.3,0.5,0.66,0.42,0.002,0.27,0.092,0.025,0.13,0.33,0.78,0.2,0.66,0.69,0.68,0.37,0.36,0.52,0.2,0.64,0.76,0.34,0.0038,0.81,0.45,0.22
"HIST1H2AE",0.066,0.86,0.1,0.15,0.69,0.11,0.32,0.94,0.59,0.31,0.81,0.75,1,0.082,0.0019,0.8,0.18,0.2,0.041,0.09,0.036,0.64,0.061,0.62,0.79,0.57,0.63,0.46,0.43,0.013,0.79,0.57,0.34
"HIST1H2AG",0.11,0.53,0.13,0.89,0.83,0.44,0.99,0.23,0.47,0.22,0.28,0.39,0.82,0.78,1,0.63,0.94,0.12,0.95,0.31,0.049,0.65,0.72,0.78,0.58,0.77,0.072,0.43,0.18,0.32,0.81,0.2,0.063
"HIST1H2AH",1,0.0096,0.52,0.03,0.46,0.71,0.26,0.68,0.9,0.16,1,1,1,0.81,1,1,1,0.91,1,0.056,1,1,1,0.29,0.065,0.74,0.12,0.89,1,0.078,0.19,0.31,0.18
"HIST1H2AI",0.0017,0.4,0.99,0.078,0.14,0.78,0.18,0.4,0.46,0.58,0.037,0.38,0.0012,0.21,1,0.038,0.21,0.22,0.92,0.16,0.091,0.74,0.67,0.64,0.41,0.38,0.87,0.48,0.87,0.093,0.61,0.42,0.7
"HIST1H2AJ",0.00067,0.16,1,0.18,1,0.72,0.1,0.19,1,0.23,1,1,1,0.46,1,1,1,0.019,1,0.39,1,1,1,0.11,1,1,0.25,0.37,1,0.16,0.34,0.66,1
"HIST1H2AK",0.064,0.67,0.36,0.41,0.35,0.21,0.36,0.067,0.0047,0.7,0.5,0.49,0.55,1,0.0053,0.54,0.91,0.36,0.18,0.19,0.66,0.61,0.27,0.03,0.028,0.67,1,0.96,0.49,0.12,0.11,0.21,0.14
